tree_id,block_id,spc_latin,spc_common,address1,address2,address3,address4,nta_name,latitude,longitude,x_sp,y_sp
412359,109046,Ginkgo biloba,ginkgo,201,CENTRAL,PARK,NORTH,Central Harlem South,40.79968879,-73.95571855,996510.0358,230628.2783
412360,109046,Ginkgo biloba,ginkgo,201,CENTRAL,PARK,NORTH,Central Harlem South,40.79972013,-73.95579315,996489.3758,230639.6858
412357,109046,Ginkgo biloba,ginkgo,201,CENTRAL,PARK,NORTH,Central Harlem South,40.79962425,-73.95556493,996552.581,230604.7865
412358,109046,Ginkgo biloba,ginkgo,201,CENTRAL,PARK,NORTH,Central Harlem South,40.79965532,-73.95563889,996532.0965,230616.0975
187483,111818,Ginkgo biloba,ginkgo,201,CENTRAL,PARK,NORTH,Central Harlem South,40.79953776,-73.95574336,996503.1943,230573.2515
187485,111818,Ginkgo biloba,ginkgo,201,CENTRAL,PARK,NORTH,Central Harlem South,40.79947265,-73.9555881,996546.1942,230549.5488
187484,111818,Ginkgo biloba,ginkgo,201,CENTRAL,PARK,NORTH,Central Harlem South,40.79948045,-73.95567772,996521.378,230552.3805
187481,111818,Ginkgo biloba,ginkgo,201,CENTRAL,PARK,NORTH,Central Harlem South,40.79959585,-73.95588187,996464.8358,230594.3958
412365,109046,Ginkgo biloba,ginkgo,207,CENTRAL,PARK,NORTH,Central Harlem South,40.79988479,-73.95618512,996380.8245,230699.624
412362,109046,Ginkgo biloba,ginkgo,207,CENTRAL,PARK,NORTH,Central Harlem South,40.79978533,-73.95594836,996446.3929,230663.4196
412361,109046,Ginkgo biloba,ginkgo,207,CENTRAL,PARK,NORTH,Central Harlem South,40.79975133,-73.95586744,996468.8036,230651.0453
412364,109046,Ginkgo biloba,ginkgo,207,CENTRAL,PARK,NORTH,Central Harlem South,40.79985146,-73.95610577,996402.7975,230687.4914
412363,109046,Ginkgo biloba,ginkgo,207,CENTRAL,PARK,NORTH,Central Harlem South,40.79981892,-73.95602833,996424.245,230675.6486
412366,109046,Gleditsia triacanthos var. inermis,honeylocust,207,CENTRAL,PARK,NORTH,Central Harlem South,40.79991733,-73.95626256,996359.377,230711.4668
187478,111818,Ginkgo biloba,ginkgo,207,CENTRAL,PARK,NORTH,Central Harlem South,40.79967792,-73.95614858,996390.9767,230624.2606
187480,111818,Ginkgo biloba,ginkgo,207,CENTRAL,PARK,NORTH,Central Harlem South,40.79960989,-73.95598636,996435.9034,230599.4962
187477,111818,Ginkgo biloba,ginkgo,207,CENTRAL,PARK,NORTH,Central Harlem South,40.79973218,-73.95620695,996374.8074,230644.0214
187475,111818,Ginkgo biloba,ginkgo,207,CENTRAL,PARK,NORTH,Central Harlem South,40.79977328,-73.95637595,996328.0096,230658.9695
187479,111818,Ginkgo biloba,ginkgo,207,CENTRAL,PARK,NORTH,Central Harlem South,40.79966495,-73.95604662,996419.2086,230619.5464
187476,111818,Ginkgo biloba,ginkgo,207,CENTRAL,PARK,NORTH,Central Harlem South,40.79974211,-73.95630164,996348.59,230647.625
412368,109046,Ginkgo biloba,ginkgo,217,CENTRAL,PARK,NORTH,Central Harlem South,40.79997841,-73.95640797,996319.1077,230733.7016
412369,109046,Ginkgo biloba,ginkgo,217,CENTRAL,PARK,NORTH,Central Harlem South,40.80001267,-73.95648952,996296.5222,230746.1724
412367,109046,Ginkgo biloba,ginkgo,217,CENTRAL,PARK,NORTH,Central Harlem South,40.799948,-73.95633558,996339.1546,230722.6324
412370,109046,Ginkgo biloba,ginkgo,217,CENTRAL,PARK,NORTH,Central Harlem South,40.80004653,-73.95657013,996274.199,230758.4985
412371,109046,Ginkgo biloba,ginkgo,217,CENTRAL,PARK,NORTH,Central Harlem South,40.800078,-73.95664504,996253.4514,230769.9545
